Time(s),File,Token Count
2,/small.c,21068
4,/small.c,20530
5,/small.c,19958
5,/small.c,19261
6,/small.c,19153
7,/small.c,18784
7,/small.c,18620
8,/small.c,18525
8,/small.c,18152
9,/small.c,17908
9,/small.c,17744
11,/small.c,17715
15,/small.c,17003
15,/small.c,16758
16,/small.c,16736
21,/small.c,16735
23,/small.c,16731
25,/small.c,16523
25,/small.c,15182
26,/small.c,15037
26,/small.c,14877
27,/small.c,14607
27,/small.c,14554
28,/small.c,14498
28,/small.c,14405
29,/small.c,14312
29,/small.c,14174
30,/small.c,14116
31,/small.c,14071
31,/small.c,14043
32,/small.c,13942
32,/small.c,13647
33,/small.c,13640
33,/small.c,13586
33,/small.c,13487
35,/small.c,13464
35,/small.c,13438
36,/small.c,13419
37,/small.c,13393
37,/small.c,13374
40,/small.c,13367
41,/small.c,13354
44,/small.c,13347
47,/small.c,13038
47,/small.c,12525
49,/small.c,12516
49,/small.c,12504
50,/small.c,12500
52,/small.c,12487
55,/small.c,12269
55,/small.c,12225
56,/small.c,12195
56,/small.c,12165
57,/small.c,12133
57,/small.c,12113
58,/small.c,12092
58,/small.c,11816
59,/small.c,11806
59,/small.c,11796
60,/small.c,10364
60,/small.c,10350
61,/small.c,10335
62,/small.c,10301
62,/small.c,10296
63,/small.c,10206
63,/small.c,10201
64,/small.c,10184
65,/small.c,9721
65,/small.c,9708
65,/small.c,9695
66,/small.c,9675
66,/small.c,9665
66,/small.c,9655
66,/small.c,9639
67,/small.c,9603
67,/small.c,9585
67,/small.c,9570
67,/small.c,9560
68,/small.c,9555
68,/small.c,9550
70,/small.c,9458
70,/small.c,9360
71,/small.c,9321
71,/small.c,9276
71,/small.c,9241
72,/small.c,9198
74,/small.c,9104
74,/small.c,9098
77,/small.c,9096
77,/small.c,9094
79,/small.c,9090
79,/small.c,9087
80,/small.c,9086
80,/small.c,9084
81,/small.c,9082
82,/small.c,9077
84,/small.c,9062
86,/small.c,9033
87,/small.c,9020
88,/small.c,8999
89,/small.c,8988
90,/small.c,8982
90,/small.c,8971
91,/small.c,8958
92,/small.c,8948
92,/small.c,8938
93,/small.c,8936
94,/small.c,8915
95,/small.c,8906
96,/small.c,8896
96,/small.c,8889
98,/small.c,8869
98,/small.c,8859
99,/small.c,8849
100,/small.c,8838
100,/small.c,8830
101,/small.c,8816
104,/small.c,8803
104,/small.c,8800
105,/small.c,8795
106,/small.c,8790
107,/small.c,8741
108,/small.c,8659
109,/small.c,8655
112,/small.c,8649
113,/small.c,8405
114,/small.c,8261
114,/small.c,8256
116,/small.c,6252
117,/small.c,6242
117,/small.c,6230
118,/small.c,6224
118,/small.c,6218
119,/small.c,6197
119,/small.c,6177
120,/small.c,6168
120,/small.c,6162
120,/small.c,6153
123,/small.c,5780
123,/small.c,5778
124,/small.c,5680
125,/small.c,5633
125,/small.c,5588
126,/small.c,5504
126,/small.c,5486
126,/small.c,5468
126,/small.c,5450
127,/small.c,5442
127,/small.c,5357
128,/small.c,5337
128,/small.c,5332
128,/small.c,4995
129,/small.c,4844
129,/small.c,3758
129,/small.c,3751
130,/small.c,3723
130,/small.c,3708
131,/small.c,3703
131,/small.c,3697
132,/small.c,3687
132,/small.c,3677
133,/small.c,3659
133,/small.c,3428
133,/small.c,3413
133,/small.c,3397
134,/small.c,3322
134,/small.c,3308
134,/small.c,3292
134,/small.c,3289
135,/small.c,3282
135,/small.c,3280
135,/small.c,3275
136,/small.c,3263
136,/small.c,3253
137,/small.c,3246
138,/small.c,3195
139,/small.c,3183
139,/small.c,3170
139,/small.c,3158
139,/small.c,3143
140,/small.c,3123
140,/small.c,3117
141,/small.c,3090
141,/small.c,3074
141,/small.c,3053
142,/small.c,3009
142,/small.c,2968
142,/small.c,2962
143,/small.c,2937
143,/small.c,2928
143,/small.c,2923
146,/small.c,2913
146,/small.c,2903
146,/small.c,2890
147,/small.c,2881
147,/small.c,2870
147,/small.c,2865
147,/small.c,2857
148,/small.c,2852
148,/small.c,2845
149,/small.c,2843
151,/small.c,2699
152,/small.c,2692
152,/small.c,2686
152,/small.c,2680
152,/small.c,2673
158,/small.c,2627
158,/small.c,2621
158,/small.c,2615
