Time(s),File,Token Count
2,/small.c,21068
4,/small.c,20498
4,/small.c,20171
5,/small.c,19524
5,/small.c,18998
6,/small.c,15951
6,/small.c,15642
7,/small.c,15261
7,/small.c,15003
7,/small.c,14900
9,/small.c,13378
10,/small.c,13037
11,/small.c,13005
14,/small.c,12673
14,/small.c,12136
15,/small.c,11512
15,/small.c,10286
16,/small.c,10231
16,/small.c,10211
16,/small.c,9815
17,/small.c,9764
17,/small.c,9749
18,/small.c,9569
20,/small.c,8643
20,/small.c,8567
21,/small.c,8504
21,/small.c,8371
21,/small.c,8297
21,/small.c,8232
22,/small.c,8134
22,/small.c,8053
22,/small.c,8016
23,/small.c,7906
23,/small.c,7819
24,/small.c,7794
24,/small.c,7453
24,/small.c,7362
25,/small.c,7260
25,/small.c,7193
25,/small.c,7148
26,/small.c,7143
26,/small.c,7093
26,/small.c,7072
27,/small.c,7036
27,/small.c,6164
28,/small.c,6156
28,/small.c,6141
29,/small.c,6123
29,/small.c,6112
30,/small.c,6097
30,/small.c,6083
30,/small.c,6073
31,/small.c,6060
31,/small.c,6042
32,/small.c,6030
32,/small.c,6016
33,/small.c,5992
33,/small.c,5931
34,/small.c,5926
36,/small.c,5916
36,/small.c,5913
37,/small.c,5910
38,/small.c,5764
39,/small.c,5760
39,/small.c,5745
40,/small.c,5733
40,/small.c,5723
41,/small.c,5708
41,/small.c,5687
43,/small.c,5657
43,/small.c,5625
43,/small.c,5584
44,/small.c,5544
44,/small.c,5534
45,/small.c,5524
45,/small.c,5515
46,/small.c,5484
46,/small.c,5412
46,/small.c,5397
47,/small.c,5382
47,/small.c,5372
48,/small.c,5364
48,/small.c,5356
48,/small.c,5352
49,/small.c,5344
49,/small.c,5339
49,/small.c,5335
50,/small.c,5255
50,/small.c,5252
51,/small.c,5247
51,/small.c,5243
52,/small.c,5238
52,/small.c,5223
52,/small.c,5217
52,/small.c,5212
53,/small.c,5202
53,/small.c,5167
54,/small.c,5125
54,/small.c,5069
54,/small.c,5054
55,/small.c,5038
55,/small.c,4940
55,/small.c,4930
56,/small.c,4910
56,/small.c,4904
56,/small.c,4899
57,/small.c,4873
57,/small.c,4867
58,/small.c,4811
58,/small.c,4769
59,/small.c,4712
60,/small.c,4692
61,/small.c,4678
61,/small.c,4661
61,/small.c,4646
62,/small.c,4612
63,/small.c,4444
63,/small.c,4355
63,/small.c,4353
63,/small.c,4333
64,/small.c,4285
65,/small.c,4195
65,/small.c,4180
66,/small.c,4149
66,/small.c,4132
66,/small.c,4093
66,/small.c,4066
67,/small.c,4029
67,/small.c,4019
68,/small.c,4010
68,/small.c,4001
68,/small.c,3991
69,/small.c,3984
69,/small.c,3977
69,/small.c,3968
70,/small.c,3961
70,/small.c,3942
70,/small.c,3932
71,/small.c,3918
71,/small.c,3915
72,/small.c,3914
72,/small.c,3911
72,/small.c,3907
72,/small.c,3899
73,/small.c,3892
73,/small.c,3889
73,/small.c,3884
74,/small.c,3880
74,/small.c,3874
74,/small.c,3868
74,/small.c,3856
75,/small.c,3851
75,/small.c,3846
75,/small.c,3842
76,/small.c,3628
76,/small.c,3619
76,/small.c,3614
76,/small.c,3605
77,/small.c,3592
77,/small.c,3587
77,/small.c,3579
77,/small.c,3574
78,/small.c,3512
78,/small.c,3492
79,/small.c,3480
79,/small.c,3470
79,/small.c,2980
80,/small.c,2966
80,/small.c,2956
80,/small.c,2946
81,/small.c,2939
81,/small.c,2923
81,/small.c,2825
81,/small.c,2812
82,/small.c,2737
82,/small.c,2716
82,/small.c,2711
83,/small.c,2704
83,/small.c,2699
83,/small.c,2694
83,/small.c,2689
84,/small.c,2682
84,/small.c,2676
84,/small.c,2667
84,/small.c,2652
85,/small.c,2647
85,/small.c,2639
86,/small.c,2627
86,/small.c,2500
86,/small.c,2495
87,/small.c,2490
88,/small.c,2425
88,/small.c,2380
89,/small.c,1308
89,/small.c,1292
89,/small.c,1283
90,/small.c,1265
90,/small.c,1253
91,/small.c,1234
91,/small.c,1229
91,/small.c,1223
92,/small.c,1217
92,/small.c,1211
92,/small.c,1206
92,/small.c,1193
93,/small.c,1187
93,/small.c,1181
93,/small.c,1175
94,/small.c,1168
94,/small.c,1161
94,/small.c,1155
95,/small.c,1149
95,/small.c,1143
95,/small.c,1137
95,/small.c,1131
96,/small.c,1122
96,/small.c,1111
97,/small.c,1101
98,/small.c,1083
98,/small.c,1078
98,/small.c,1068
98,/small.c,1060
99,/small.c,1058
99,/small.c,1026
100,/small.c,1002
100,/small.c,959
100,/small.c,929
101,/small.c,927
104,/small.c,847
104,/small.c,826
104,/small.c,799
105,/small.c,668
105,/small.c,650
105,/small.c,632
105,/small.c,625
106,/small.c,609
106,/small.c,603
106,/small.c,597
111,/small.c,580
111,/small.c,574
