Time(s),File,Token Count
2,/small.c,21068
4,/small.c,19110
4,/small.c,18114
5,/small.c,16962
5,/small.c,16473
6,/small.c,16165
7,/small.c,15322
8,/small.c,15252
8,/small.c,15138
9,/small.c,12860
9,/small.c,12787
11,/small.c,11411
12,/small.c,11410
12,/small.c,11158
13,/small.c,11132
14,/small.c,11104
14,/small.c,11078
15,/small.c,10328
16,/small.c,10321
16,/small.c,10320
18,/small.c,10245
20,/small.c,9992
20,/small.c,9471
21,/small.c,9417
21,/small.c,9371
22,/small.c,9351
22,/small.c,9327
22,/small.c,9280
22,/small.c,9265
23,/small.c,9208
23,/small.c,8425
23,/small.c,8383
24,/small.c,8373
24,/small.c,8299
25,/small.c,8292
26,/small.c,8104
26,/small.c,8041
27,/small.c,7576
27,/small.c,6824
28,/small.c,6783
28,/small.c,6714
28,/small.c,6612
28,/small.c,6540
29,/small.c,6532
29,/small.c,6491
29,/small.c,6458
30,/small.c,6446
30,/small.c,6424
31,/small.c,6403
31,/small.c,6377
34,/small.c,6067
34,/small.c,6039
35,/small.c,6023
35,/small.c,6003
35,/small.c,5983
36,/small.c,5431
36,/small.c,5410
36,/small.c,5075
36,/small.c,5055
37,/small.c,4988
37,/small.c,4966
37,/small.c,4931
38,/small.c,4908
38,/small.c,4885
38,/small.c,4857
38,/small.c,4837
39,/small.c,4827
39,/small.c,4806
39,/small.c,4796
40,/small.c,4762
40,/small.c,4757
41,/small.c,4744
41,/small.c,4738
41,/small.c,4730
42,/small.c,4237
42,/small.c,4236
43,/small.c,4233
43,/small.c,4164
44,/small.c,4118
44,/small.c,4032
44,/small.c,3982
45,/small.c,3943
45,/small.c,3899
45,/small.c,3879
46,/small.c,3867
46,/small.c,3723
46,/small.c,3714
47,/small.c,3699
47,/small.c,3627
48,/small.c,3594
48,/small.c,3574
48,/small.c,3571
48,/small.c,3544
49,/small.c,3529
49,/small.c,3439
50,/small.c,3388
50,/small.c,3332
50,/small.c,3320
51,/small.c,3281
51,/small.c,3243
51,/small.c,2341
51,/small.c,2208
52,/small.c,2174
52,/small.c,2144
53,/small.c,2121
53,/small.c,2110
53,/small.c,2099
54,/small.c,1999
54,/small.c,1990
55,/small.c,1971
55,/small.c,1970
55,/small.c,1969
56,/small.c,1965
56,/small.c,1958
56,/small.c,1907
57,/small.c,1906
57,/small.c,1868
58,/small.c,1868
58,/small.c,1810
58,/small.c,1800
59,/small.c,1793
59,/small.c,1759
60,/small.c,1745
60,/small.c,1742
60,/small.c,1741
61,/small.c,1606
61,/small.c,1498
62,/small.c,1476
62,/small.c,1411
62,/small.c,1375
63,/small.c,1348
63,/small.c,1327
63,/small.c,1308
63,/small.c,980
64,/small.c,966
64,/small.c,944
64,/small.c,907
64,/small.c,885
65,/small.c,874
65,/small.c,860
65,/small.c,853
66,/small.c,849
66,/small.c,845
66,/small.c,841
67,/small.c,837
69,/small.c,805
69,/small.c,781
71,/small.c,771
71,/small.c,763
73,/small.c,760
73,/small.c,741
75,/small.c,707
76,/small.c,643
76,/small.c,631
76,/small.c,610
77,/small.c,604
77,/small.c,598
77,/small.c,592
77,/small.c,586
77,/small.c,575
78,/small.c,569
78,/small.c,568
78,/small.c,551
78,/small.c,534
79,/small.c,527
79,/small.c,521
79,/small.c,513
81,/small.c,506
81,/small.c,499
84,/small.c,493
84,/small.c,489
85,/small.c,447
85,/small.c,441
