Time(s),File,Token Count
6,/small.c,93032
23,/small.c,93004
27,/small.c,92902
30,/small.c,92870
35,/small.c,92596
38,/small.c,92309
42,/small.c,90541
49,/small.c,57685
52,/small.c,48051
55,/small.c,48036
58,/small.c,48008
61,/small.c,47996
67,/small.c,47446
68,/small.c,47394
69,/small.c,47238
72,/small.c,41098
73,/small.c,40900
74,/small.c,32307
75,/small.c,30837
76,/small.c,29279
77,/small.c,28583
78,/small.c,28260
80,/small.c,28241
82,/small.c,27423
83,/small.c,26826
84,/small.c,26814
85,/small.c,26492
86,/small.c,26418
87,/small.c,26326
88,/small.c,26313
89,/small.c,26201
90,/small.c,26087
91,/small.c,25906
92,/small.c,25472
92,/small.c,25026
93,/small.c,24499
94,/small.c,24407
95,/small.c,23949
96,/small.c,23765
96,/small.c,22988
97,/small.c,21912
98,/small.c,21149
100,/small.c,20815
101,/small.c,20610
102,/small.c,20248
103,/small.c,20175
104,/small.c,20123
107,/small.c,19949
108,/small.c,19889
109,/small.c,19569
112,/small.c,18884
112,/small.c,18204
114,/small.c,17823
114,/small.c,17382
116,/small.c,17133
117,/small.c,16954
117,/small.c,16477
118,/small.c,16299
119,/small.c,16116
119,/small.c,15948
120,/small.c,15723
120,/small.c,15430
121,/small.c,15075
122,/small.c,14987
123,/small.c,14173
124,/small.c,14068
124,/small.c,13974
125,/small.c,13827
126,/small.c,13742
126,/small.c,13653
128,/small.c,13609
129,/small.c,13565
129,/small.c,12520
131,/small.c,12495
134,/small.c,12234
145,/small.c,11956
155,/small.c,11377
155,/small.c,11234
156,/small.c,11212
156,/small.c,11199
157,/small.c,11144
158,/small.c,10947
158,/small.c,10907
159,/small.c,10871
160,/small.c,10819
160,/small.c,10782
161,/small.c,10722
161,/small.c,10631
163,/small.c,10619
164,/small.c,10608
165,/small.c,10599
166,/small.c,10583
167,/small.c,10578
168,/small.c,10569
174,/small.c,10543
175,/small.c,10116
176,/small.c,10002
176,/small.c,9910
177,/small.c,9769
177,/small.c,9436
178,/small.c,9390
179,/small.c,9337
179,/small.c,9314
180,/small.c,9289
181,/small.c,9282
182,/small.c,9277
182,/small.c,9275
183,/small.c,9041
183,/small.c,9036
184,/small.c,8625
185,/small.c,8623
186,/small.c,8482
187,/small.c,8430
187,/small.c,8262
188,/small.c,8195
188,/small.c,8159
189,/small.c,8063
189,/small.c,8040
190,/small.c,7940
191,/small.c,7931
191,/small.c,7926
192,/small.c,7872
192,/small.c,7098
193,/small.c,7084
193,/small.c,7079
194,/small.c,7074
195,/small.c,7029
196,/small.c,7000
197,/small.c,6989
198,/small.c,6992
199,/small.c,6983
200,/small.c,6971
200,/small.c,6962
201,/small.c,6939
202,/small.c,6921
203,/small.c,6912
203,/small.c,6903
204,/small.c,6878
205,/small.c,6852
206,/small.c,6820
207,/small.c,3395
207,/small.c,3384
208,/small.c,3375
209,/small.c,3365
209,/small.c,3279
210,/small.c,3272
211,/small.c,3263
212,/small.c,3252
213,/small.c,3107
213,/small.c,3104
214,/small.c,3098
214,/small.c,3092
215,/small.c,3086
216,/small.c,3080
216,/small.c,3074
217,/small.c,3065
217,/small.c,3056
218,/small.c,3056
219,/small.c,3047
220,/small.c,2972
222,/small.c,2901
222,/small.c,2769
223,/small.c,2766
225,/small.c,2698
226,/small.c,2633
227,/small.c,2583
227,/small.c,2544
228,/small.c,2498
229,/small.c,2487
234,/small.c,2479
234,/small.c,2477
235,/small.c,2475
235,/small.c,2473
236,/small.c,2471
237,/small.c,2467
238,/small.c,2460
239,/small.c,2430
240,/small.c,2418
240,/small.c,2392
241,/small.c,2380
242,/small.c,2374
243,/small.c,2366
243,/small.c,2364
244,/small.c,2231
245,/small.c,2224
246,/small.c,2179
247,/small.c,2170
248,/small.c,2150
249,/small.c,2126
249,/small.c,2101
250,/small.c,2101
250,/small.c,2101
251,/small.c,2093
253,/small.c,2039
254,/small.c,2036
255,/small.c,2033
255,/small.c,2036
257,/small.c,1980
258,/small.c,1835
259,/small.c,1819
259,/small.c,1777
260,/small.c,1773
261,/small.c,1753
265,/small.c,1086
266,/small.c,725
266,/small.c,700
267,/small.c,692
271,/small.c,667
271,/small.c,619
273,/small.c,615
273,/small.c,611
274,/small.c,599
274,/small.c,595
275,/small.c,591
276,/small.c,589
276,/small.c,578
279,/small.c,567
280,/small.c,558
281,/small.c,552
283,/small.c,555
285,/small.c,533
286,/small.c,526
287,/small.c,519
287,/small.c,507
288,/small.c,455
292,/small.c,446
293,/small.c,444
