Time(s),File,Token Count
4,/small.c,32958
9,/small.c,32927
13,/small.c,32908
17,/small.c,32306
18,/small.c,32210
19,/small.c,31351
20,/small.c,28414
21,/small.c,28106
21,/small.c,27470
23,/small.c,27468
24,/small.c,26550
25,/small.c,26268
26,/small.c,25953
27,/small.c,25941
28,/small.c,25787
29,/small.c,25750
29,/small.c,25182
30,/small.c,24886
32,/small.c,24672
34,/small.c,24649
35,/small.c,24637
38,/small.c,24592
40,/small.c,24404
41,/small.c,24397
42,/small.c,24341
45,/small.c,24329
47,/small.c,24257
47,/small.c,24174
49,/small.c,21484
49,/small.c,21423
50,/small.c,21387
51,/small.c,21378
52,/small.c,21367
53,/small.c,21359
53,/small.c,21338
56,/small.c,21334
57,/small.c,21330
57,/small.c,21326
59,/small.c,21322
60,/small.c,21315
63,/small.c,21308
65,/small.c,21303
67,/small.c,21284
68,/small.c,21272
68,/small.c,21200
70,/small.c,21194
73,/small.c,16322
73,/small.c,16302
74,/small.c,16251
74,/small.c,16213
75,/small.c,16201
76,/small.c,16139
76,/small.c,16134
76,/small.c,16123
77,/small.c,16118
77,/small.c,16075
78,/small.c,15969
79,/small.c,15964
79,/small.c,15953
79,/small.c,15948
80,/small.c,15928
81,/small.c,15223
81,/small.c,13960
82,/small.c,13727
82,/small.c,13459
82,/small.c,13447
83,/small.c,13435
83,/small.c,13388
84,/small.c,13244
84,/small.c,12658
84,/small.c,12654
85,/small.c,12649
86,/small.c,12391
86,/small.c,12296
87,/small.c,12285
87,/small.c,12258
87,/small.c,12247
88,/small.c,12224
88,/small.c,12167
88,/small.c,12162
89,/small.c,12157
90,/small.c,12145
91,/small.c,11838
91,/small.c,11679
92,/small.c,11398
92,/small.c,11242
92,/small.c,11108
93,/small.c,11077
93,/small.c,11073
94,/small.c,10974
94,/small.c,10970
94,/small.c,10964
95,/small.c,7458
96,/small.c,7446
96,/small.c,7329
97,/small.c,7205
98,/small.c,7197
100,/small.c,7192
100,/small.c,7176
100,/small.c,7119
100,/small.c,7078
102,/small.c,6832
102,/small.c,6822
103,/small.c,6768
103,/small.c,6717
103,/small.c,6706
104,/small.c,6699
104,/small.c,6327
105,/small.c,6322
105,/small.c,6321
106,/small.c,6283
108,/small.c,6274
110,/small.c,6242
110,/small.c,6203
111,/small.c,6191
113,/small.c,6182
113,/small.c,6179
114,/small.c,6177
114,/small.c,6175
114,/small.c,6173
115,/small.c,6170
115,/small.c,6168
116,/small.c,6159
116,/small.c,6157
117,/small.c,6148
117,/small.c,6146
118,/small.c,6140
118,/small.c,6134
118,/small.c,6128
119,/small.c,6122
119,/small.c,6116
120,/small.c,6114
120,/small.c,6108
121,/small.c,6097
121,/small.c,6095
122,/small.c,6091
122,/small.c,6089
123,/small.c,6078
123,/small.c,6074
124,/small.c,6048
125,/small.c,6037
128,/small.c,6028
128,/small.c,6023
128,/small.c,6002
129,/small.c,5985
129,/small.c,5936
129,/small.c,5926
131,/small.c,5801
131,/small.c,5796
131,/small.c,5791
132,/small.c,5788
132,/small.c,5682
134,/small.c,5677
134,/small.c,5672
135,/small.c,5668
136,/small.c,5658
137,/small.c,5355
138,/small.c,5200
139,/small.c,4917
139,/small.c,4899
139,/small.c,4843
141,/small.c,4789
142,/small.c,4607
144,/small.c,4414
144,/small.c,4397
145,/small.c,4381
145,/small.c,4377
146,/small.c,4367
146,/small.c,4364
146,/small.c,4363
147,/small.c,4333
148,/small.c,4322
148,/small.c,4298
150,/small.c,4151
150,/small.c,4145
151,/small.c,4138
153,/small.c,4134
157,/small.c,4089
157,/small.c,4044
158,/small.c,4002
158,/small.c,3970
158,/small.c,3952
159,/small.c,3918
159,/small.c,3893
162,/small.c,3886
162,/small.c,3872
162,/small.c,3864
162,/small.c,3855
163,/small.c,3850
163,/small.c,3820
165,/small.c,3804
165,/small.c,3800
165,/small.c,3797
165,/small.c,3794
166,/small.c,3534
167,/small.c,3441
167,/small.c,3327
167,/small.c,3232
168,/small.c,3118
168,/small.c,3117
168,/small.c,3012
169,/small.c,3007
170,/small.c,2931
175,/small.c,2895
175,/small.c,2886
176,/small.c,2866
176,/small.c,2853
177,/small.c,2844
177,/small.c,2837
177,/small.c,2831
178,/small.c,2825
179,/small.c,2820
179,/small.c,2812
181,/small.c,2803
181,/small.c,2788
