Time(s),File,Token Count
10,/small.c,57581
34,/small.c,46876
38,/small.c,40695
41,/small.c,37596
44,/small.c,37718
52,/small.c,35823
56,/small.c,33817
59,/small.c,33857
63,/small.c,32798
66,/small.c,32338
75,/small.c,31921
81,/small.c,31816
86,/small.c,31142
91,/small.c,30276
97,/small.c,30301
101,/small.c,30284
106,/small.c,30309
110,/small.c,30458
114,/small.c,29707
118,/small.c,29318
129,/small.c,29317
135,/small.c,29327
141,/small.c,29337
148,/small.c,29340
154,/small.c,29298
161,/small.c,29273
168,/small.c,29258
176,/small.c,29203
184,/small.c,29224
186,/small.c,29191
188,/small.c,29164
193,/small.c,28806
196,/small.c,28694
199,/small.c,28603
201,/small.c,28298
209,/small.c,28098
214,/small.c,28087
219,/small.c,28052
231,/small.c,28005
236,/small.c,27904
241,/small.c,27842
246,/small.c,27688
251,/small.c,27685
256,/small.c,27604
261,/small.c,27580
266,/small.c,27558
273,/small.c,27197
286,/small.c,27063
299,/small.c,26709
305,/small.c,26653
311,/small.c,26520
317,/small.c,26565
322,/small.c,26457
327,/small.c,26445
332,/small.c,26467
337,/small.c,26457
342,/small.c,26447
347,/small.c,26456
352,/small.c,26439
356,/small.c,26355
359,/small.c,26327
360,/small.c,26290
361,/small.c,26150
364,/small.c,24647
366,/small.c,24511
367,/small.c,24491
368,/small.c,24445
370,/small.c,24412
371,/small.c,24230
372,/small.c,24199
373,/small.c,24194
376,/small.c,19714
377,/small.c,19710
378,/small.c,19700
381,/small.c,19698
382,/small.c,19691
385,/small.c,19652
386,/small.c,19644
389,/small.c,19567
391,/small.c,19547
393,/small.c,19540
395,/small.c,19540
396,/small.c,19555
400,/small.c,18234
401,/small.c,18070
402,/small.c,18061
402,/small.c,18026
403,/small.c,18023
403,/small.c,17995
404,/small.c,17993
405,/small.c,13407
406,/small.c,13298
406,/small.c,13290
407,/small.c,13262
407,/small.c,13246
409,/small.c,13246
409,/small.c,13059
410,/small.c,12810
410,/small.c,12123
411,/small.c,12100
413,/small.c,12018
413,/small.c,11970
414,/small.c,11960
415,/small.c,11952
415,/small.c,11790
417,/small.c,11779
419,/small.c,10217
419,/small.c,10187
419,/small.c,10136
419,/small.c,10058
420,/small.c,10043
421,/small.c,10030
421,/small.c,10010
421,/small.c,10000
422,/small.c,9995
422,/small.c,9988
424,/small.c,9942
424,/small.c,9866
425,/small.c,9854
425,/small.c,9829
426,/small.c,9683
426,/small.c,9665
426,/small.c,9653
427,/small.c,9653
427,/small.c,9654
427,/small.c,9649
428,/small.c,9569
429,/small.c,9544
429,/small.c,9504
430,/small.c,9407
430,/small.c,9330
431,/small.c,9271
431,/small.c,9263
432,/small.c,9222
433,/small.c,8043
433,/small.c,8038
433,/small.c,8015
433,/small.c,8001
434,/small.c,7991
435,/small.c,7926
435,/small.c,7894
436,/small.c,7883
436,/small.c,7852
436,/small.c,7843
436,/small.c,7180
436,/small.c,6994
437,/small.c,4960
437,/small.c,4955
437,/small.c,4913
438,/small.c,4870
438,/small.c,4790
439,/small.c,4772
439,/small.c,4626
440,/small.c,4619
440,/small.c,4614
440,/small.c,4611
440,/small.c,4555
441,/small.c,4395
441,/small.c,4348
441,/small.c,4276
441,/small.c,3100
441,/small.c,2840
442,/small.c,2389
442,/small.c,2384
443,/small.c,2357
443,/small.c,2339
443,/small.c,2044
444,/small.c,1968
446,/small.c,1964
446,/small.c,1964
446,/small.c,1964
447,/small.c,1948
447,/small.c,1945
447,/small.c,1937
447,/small.c,1925
448,/small.c,1869
449,/small.c,1851
449,/small.c,1761
449,/small.c,1679
449,/small.c,1668
450,/small.c,1653
450,/small.c,1648
450,/small.c,1632
451,/small.c,1630
453,/small.c,1548
453,/small.c,1541
454,/small.c,1532
455,/small.c,1516
455,/small.c,1499
456,/small.c,1481
456,/small.c,1452
457,/small.c,1440
458,/small.c,1425
462,/small.c,1422
468,/small.c,1405
468,/small.c,1399
468,/small.c,1392
469,/small.c,1387
469,/small.c,1381
469,/small.c,1385
469,/small.c,1378
470,/small.c,1371
470,/small.c,1365
470,/small.c,1359
470,/small.c,1350
470,/small.c,1341
475,/small.c,1223
