Time(s),File,Token Count
9,/small.c,57581
65,/small.c,57573
83,/small.c,57563
102,/small.c,57540
141,/small.c,57484
175,/small.c,57438
210,/small.c,57376
244,/small.c,57322
278,/small.c,57249
312,/small.c,57170
346,/small.c,57104
379,/small.c,57032
412,/small.c,56969
444,/small.c,56826
483,/small.c,56822
526,/small.c,56364
538,/small.c,56331
543,/small.c,56215
557,/small.c,56031
564,/small.c,55883
572,/small.c,55702
579,/small.c,55690
586,/small.c,55669
593,/small.c,55560
599,/small.c,55415
615,/small.c,36380
621,/small.c,36378
642,/small.c,36353
652,/small.c,36350
660,/small.c,36345
669,/small.c,36343
677,/small.c,36341
683,/small.c,36247
686,/small.c,36175
688,/small.c,36103
692,/small.c,35823
696,/small.c,33392
699,/small.c,33364
702,/small.c,33311
705,/small.c,33159
707,/small.c,33123
710,/small.c,33106
715,/small.c,33030
719,/small.c,33020
723,/small.c,33007
727,/small.c,32997
731,/small.c,32975
734,/small.c,32953
738,/small.c,32935
742,/small.c,32859
745,/small.c,32833
748,/small.c,32823
752,/small.c,32798
760,/small.c,32795
767,/small.c,32790
773,/small.c,32785
779,/small.c,32780
785,/small.c,32775
790,/small.c,32770
796,/small.c,32765
801,/small.c,32759
806,/small.c,32753
811,/small.c,32743
815,/small.c,32735
820,/small.c,32724
824,/small.c,32686
829,/small.c,32677
833,/small.c,32651
837,/small.c,31248
841,/small.c,31240
845,/small.c,31223
849,/small.c,31214
853,/small.c,31118
856,/small.c,31104
860,/small.c,31099
866,/small.c,31094
870,/small.c,31091
882,/small.c,30402
885,/small.c,30397
888,/small.c,30392
891,/small.c,30387
897,/small.c,30384
900,/small.c,30367
903,/small.c,30365
909,/small.c,30322
911,/small.c,30300
916,/small.c,30035
920,/small.c,30030
923,/small.c,28421
927,/small.c,28415
930,/small.c,28407
933,/small.c,28390
936,/small.c,28381
939,/small.c,28378
942,/small.c,28286
945,/small.c,28281
948,/small.c,28257
950,/small.c,28185
953,/small.c,28180
955,/small.c,28175
957,/small.c,28113
960,/small.c,28107
962,/small.c,28101
966,/small.c,28078
974,/small.c,10025
975,/small.c,9597
975,/small.c,9592
976,/small.c,9585
976,/small.c,9569
978,/small.c,9558
980,/small.c,7522
981,/small.c,7505
981,/small.c,7388
982,/small.c,7378
983,/small.c,7371
983,/small.c,7366
984,/small.c,6864
985,/small.c,6704
985,/small.c,6692
986,/small.c,6687
986,/small.c,6682
987,/small.c,6677
988,/small.c,6144
988,/small.c,6005
988,/small.c,6000
989,/small.c,5992
989,/small.c,5987
989,/small.c,5986
990,/small.c,5972
991,/small.c,5966
991,/small.c,5704
992,/small.c,5692
992,/small.c,5687
993,/small.c,5679
994,/small.c,5669
994,/small.c,5664
994,/small.c,5657
994,/small.c,5652
996,/small.c,5638
996,/small.c,5268
997,/small.c,5260
997,/small.c,5248
997,/small.c,5110
998,/small.c,5102
998,/small.c,5094
998,/small.c,5081
1000,/small.c,5051
1000,/small.c,5023
1000,/small.c,4996
1001,/small.c,4968
1002,/small.c,4940
1002,/small.c,4912
1003,/small.c,4882
1004,/small.c,4875
1005,/small.c,4872
1006,/small.c,4869
1007,/small.c,4864
1007,/small.c,4856
1009,/small.c,4853
1010,/small.c,4850
1010,/small.c,4848
1012,/small.c,4842
1013,/small.c,4832
1014,/small.c,4822
1015,/small.c,4663
1015,/small.c,4658
1015,/small.c,4653
1016,/small.c,4625
1016,/small.c,4620
1016,/small.c,4603
1017,/small.c,4598
1017,/small.c,4590
1018,/small.c,4585
1019,/small.c,4570
1019,/small.c,4565
1020,/small.c,4557
1020,/small.c,4540
1022,/small.c,4527
1022,/small.c,4522
1023,/small.c,4514
1023,/small.c,4509
1024,/small.c,4492
1024,/small.c,4477
1024,/small.c,4472
1025,/small.c,4471
1026,/small.c,4459
1027,/small.c,4454
1028,/small.c,4453
1030,/small.c,4441
1031,/small.c,4429
1031,/small.c,4407
1032,/small.c,4389
1033,/small.c,4383
1033,/small.c,4377
1034,/small.c,4368
1035,/small.c,4363
1037,/small.c,4357
1050,/small.c,4335
1052,/small.c,4330
1054,/small.c,4328
1055,/small.c,4324
1056,/small.c,4324
1056,/small.c,4322
1067,/small.c,4295
1068,/small.c,4273
1069,/small.c,4256
1069,/small.c,4247
1073,/small.c,4244
1083,/small.c,4225
1084,/small.c,4206
