Time(s),File,Token Count
10,/small.c,75224
23,/small.c,75119
27,/small.c,75027
30,/small.c,74908
34,/small.c,74773
38,/small.c,74622
41,/small.c,74276
49,/small.c,74073
56,/small.c,73932
62,/small.c,73495
69,/small.c,73472
75,/small.c,73439
82,/small.c,73408
88,/small.c,73375
94,/small.c,73342
99,/small.c,73309
106,/small.c,73254
111,/small.c,73199
118,/small.c,73142
123,/small.c,73086
129,/small.c,73030
134,/small.c,72976
141,/small.c,72922
146,/small.c,72860
152,/small.c,72787
157,/small.c,72708
163,/small.c,72635
168,/small.c,72569
176,/small.c,72503
189,/small.c,72499
193,/small.c,72472
200,/small.c,40829
204,/small.c,39993
222,/small.c,39990
226,/small.c,39984
230,/small.c,39922
235,/small.c,39915
238,/small.c,38299
242,/small.c,38295
246,/small.c,38291
257,/small.c,37637
260,/small.c,36754
264,/small.c,36174
268,/small.c,35772
271,/small.c,35416
275,/small.c,35306
278,/small.c,34949
282,/small.c,34880
285,/small.c,34685
289,/small.c,34569
292,/small.c,34435
296,/small.c,34147
299,/small.c,33197
302,/small.c,32582
306,/small.c,32429
309,/small.c,31992
313,/small.c,31924
316,/small.c,31617
322,/small.c,31552
324,/small.c,31522
328,/small.c,31507
329,/small.c,31492
332,/small.c,31477
333,/small.c,31462
335,/small.c,31447
346,/small.c,31444
353,/small.c,31433
365,/small.c,31308
366,/small.c,31288
367,/small.c,31276
368,/small.c,31222
374,/small.c,31211
377,/small.c,31203
379,/small.c,31191
381,/small.c,31189
383,/small.c,31187
385,/small.c,31173
387,/small.c,31155
389,/small.c,31143
391,/small.c,31133
393,/small.c,31128
395,/small.c,31087
397,/small.c,30950
399,/small.c,30940
401,/small.c,30554
407,/small.c,30548
409,/small.c,30545
411,/small.c,30544
429,/small.c,30442
433,/small.c,30274
441,/small.c,30198
442,/small.c,30158
443,/small.c,30153
444,/small.c,30148
448,/small.c,30138
449,/small.c,29902
450,/small.c,29882
451,/small.c,29871
462,/small.c,29863
463,/small.c,29829
465,/small.c,29804
466,/small.c,29678
467,/small.c,29666
