Time(s),File,Token Count
10,/small.c,75224
27,/small.c,75132
31,/small.c,75013
35,/small.c,74908
39,/small.c,74562
43,/small.c,74427
46,/small.c,74276
57,/small.c,74073
62,/small.c,73636
68,/small.c,73495
75,/small.c,73464
80,/small.c,73441
94,/small.c,73437
99,/small.c,73394
105,/small.c,41751
110,/small.c,27744
113,/small.c,26908
116,/small.c,26775
120,/small.c,26642
123,/small.c,26610
127,/small.c,26577
130,/small.c,26544
135,/small.c,26511
138,/small.c,26478
141,/small.c,26423
145,/small.c,26368
148,/small.c,26311
156,/small.c,26302
170,/small.c,26140
173,/small.c,25891
177,/small.c,25781
180,/small.c,25344
185,/small.c,25183
186,/small.c,25089
187,/small.c,25012
189,/small.c,24970
192,/small.c,24862
193,/small.c,24845
195,/small.c,24830
196,/small.c,24669
200,/small.c,24651
203,/small.c,24641
205,/small.c,24628
208,/small.c,24591
210,/small.c,24549
213,/small.c,24507
215,/small.c,24486
218,/small.c,24456
220,/small.c,24408
222,/small.c,24369
225,/small.c,24310
227,/small.c,24245
230,/small.c,24209
232,/small.c,24144
234,/small.c,24085
236,/small.c,24034
238,/small.c,23978
240,/small.c,23912
245,/small.c,23907
247,/small.c,23900
250,/small.c,23896
252,/small.c,23893
262,/small.c,23816
263,/small.c,23716
265,/small.c,23674
270,/small.c,23671
271,/small.c,23670
273,/small.c,23661
274,/small.c,23653
276,/small.c,23652
277,/small.c,23649
279,/small.c,23638
280,/small.c,23631
282,/small.c,23636
284,/small.c,23641
285,/small.c,23636
287,/small.c,23631
311,/small.c,23613
312,/small.c,23593
312,/small.c,23581
320,/small.c,23437
321,/small.c,23350
322,/small.c,23345
323,/small.c,23299
324,/small.c,23148
325,/small.c,23082
326,/small.c,23075
327,/small.c,23070
328,/small.c,23060
328,/small.c,23044
336,/small.c,23038
336,/small.c,23033
337,/small.c,23030
361,/small.c,22705
361,/small.c,22694
369,/small.c,22692
370,/small.c,22692
370,/small.c,22690
371,/small.c,22688
379,/small.c,22620
380,/small.c,22625
381,/small.c,22620
382,/small.c,22500
386,/small.c,22495
409,/small.c,22491
410,/small.c,22365
417,/small.c,22367
418,/small.c,22367
419,/small.c,22363
419,/small.c,22350
420,/small.c,22345
434,/small.c,22336
439,/small.c,22192
439,/small.c,17722
440,/small.c,16717
441,/small.c,16529
441,/small.c,16529
442,/small.c,16524
446,/small.c,16522
448,/small.c,16511
451,/small.c,16479
452,/small.c,16317
453,/small.c,16319
453,/small.c,16324
454,/small.c,16339
458,/small.c,14243
458,/small.c,13494
459,/small.c,13490
460,/small.c,13495
460,/small.c,13344
461,/small.c,13344
461,/small.c,13344
462,/small.c,12993
462,/small.c,12993
479,/small.c,12710
485,/small.c,12710
486,/small.c,12708
486,/small.c,12704
487,/small.c,12682
494,/small.c,12679
494,/small.c,12677
505,/small.c,12672
506,/small.c,12219
506,/small.c,12169
510,/small.c,12163
511,/small.c,12158
511,/small.c,12154
512,/small.c,11958
517,/small.c,11953
521,/small.c,11946
522,/small.c,11939
522,/small.c,11814
523,/small.c,11809
524,/small.c,11659
524,/small.c,11650
525,/small.c,11647
526,/small.c,11645
526,/small.c,11638
527,/small.c,11523
527,/small.c,11528
532,/small.c,11460
533,/small.c,11088
534,/small.c,10934
534,/small.c,10934
535,/small.c,10919
535,/small.c,10403
536,/small.c,10398
537,/small.c,10391
537,/small.c,10391
538,/small.c,10393
538,/small.c,10393
540,/small.c,10388
540,/small.c,9960
541,/small.c,9957
544,/small.c,9682
544,/small.c,9657
545,/small.c,9128
545,/small.c,9113
547,/small.c,8993
547,/small.c,8998
548,/small.c,8987
548,/small.c,8984
551,/small.c,8927
552,/small.c,8871
553,/small.c,8726
554,/small.c,8526
555,/small.c,8496
557,/small.c,8500
558,/small.c,8504
559,/small.c,8498
560,/small.c,8492
561,/small.c,8486
562,/small.c,8490
563,/small.c,8491
565,/small.c,8495
566,/small.c,8494
567,/small.c,8492
568,/small.c,8486
569,/small.c,8480
570,/small.c,8479
571,/small.c,8483
572,/small.c,8482
573,/small.c,8481
575,/small.c,8466
580,/small.c,8466
584,/small.c,8455
585,/small.c,8365
586,/small.c,8362
587,/small.c,8365
588,/small.c,8367
603,/small.c,8362
611,/small.c,8343
612,/small.c,8333
613,/small.c,8328
614,/small.c,8309
614,/small.c,8302
615,/small.c,8290
616,/small.c,8287
617,/small.c,8282
619,/small.c,8265
620,/small.c,8246
621,/small.c,8215
622,/small.c,8173
636,/small.c,7383
637,/small.c,6709
640,/small.c,6704
641,/small.c,6703
657,/small.c,6693
664,/small.c,6688
664,/small.c,6668
665,/small.c,6664
665,/small.c,6664
666,/small.c,6657
682,/small.c,6652
682,/small.c,6644
695,/small.c,6637
699,/small.c,6637
699,/small.c,6632
703,/small.c,6625
716,/small.c,6618
720,/small.c,6613
726,/small.c,6608
736,/small.c,6598
743,/small.c,6588
781,/small.c,6570
785,/small.c,6565
786,/small.c,6570
803,/small.c,6568
804,/small.c,6561
809,/small.c,6519
809,/small.c,6344
811,/small.c,6314
812,/small.c,6291
812,/small.c,6256
813,/small.c,6189
814,/small.c,6186
815,/small.c,6181
816,/small.c,6185
817,/small.c,6189
818,/small.c,6183
819,/small.c,6185
820,/small.c,6179
821,/small.c,6170
826,/small.c,6105
826,/small.c,6105
827,/small.c,6110
830,/small.c,6099
837,/small.c,5983
837,/small.c,5926
1001,/small.c,5912
1002,/small.c,5909
1002,/small.c,5894
1003,/small.c,5879
1004,/small.c,5855
1005,/small.c,5834
1005,/small.c,5727
1006,/small.c,5643
1007,/small.c,5642
1011,/small.c,5633
1012,/small.c,5629
1013,/small.c,5623
1014,/small.c,5610
1015,/small.c,5604
1016,/small.c,5594
1021,/small.c,5551
1057,/small.c,5535
1155,/small.c,5533
1182,/small.c,5524
1197,/small.c,5521
1199,/small.c,5514
1200,/small.c,5508
1201,/small.c,5498
1202,/small.c,5484
1212,/small.c,5431
1383,/small.c,5435
1400,/small.c,5425
1401,/small.c,5415
