Time(s),File,Token Count
2,/small.c,16623
32,/small.c,14965
37,/small.c,15067
40,/small.c,15257
59,/small.c,14333
60,/small.c,14362
62,/small.c,13999
63,/small.c,13634
64,/small.c,13308
66,/small.c,12497
68,/small.c,12242
80,/small.c,11947
81,/small.c,11935
82,/small.c,11939
84,/small.c,11953
85,/small.c,11963
86,/small.c,11984
88,/small.c,11936
89,/small.c,11876
91,/small.c,11479
96,/small.c,10754
97,/small.c,10556
99,/small.c,10456
101,/small.c,10347
103,/small.c,10260
121,/small.c,10253
122,/small.c,10252
123,/small.c,10260
126,/small.c,10252
126,/small.c,10223
127,/small.c,10164
129,/small.c,10109
130,/small.c,10103
131,/small.c,10105
132,/small.c,10130
134,/small.c,10124
136,/small.c,9958
136,/small.c,9923
137,/small.c,9888
138,/small.c,9873
139,/small.c,9853
140,/small.c,9851
141,/small.c,9836
142,/small.c,9809
158,/small.c,9789
170,/small.c,9784
171,/small.c,9779
172,/small.c,9771
174,/small.c,9784
175,/small.c,9777
177,/small.c,9771
179,/small.c,9765
181,/small.c,9758
183,/small.c,9755
184,/small.c,9750
186,/small.c,9745
189,/small.c,9735
191,/small.c,9733
193,/small.c,9731
194,/small.c,9726
198,/small.c,9715
199,/small.c,9708
201,/small.c,9699
203,/small.c,9692
204,/small.c,9692
206,/small.c,9669
208,/small.c,9654
210,/small.c,9654
211,/small.c,9651
213,/small.c,9646
214,/small.c,9624
217,/small.c,9487
219,/small.c,9439
220,/small.c,9396
221,/small.c,9348
223,/small.c,9283
224,/small.c,9218
225,/small.c,9211
227,/small.c,9015
228,/small.c,8957
229,/small.c,8746
230,/small.c,8561
231,/small.c,8506
246,/small.c,8480
249,/small.c,8475
266,/small.c,8465
273,/small.c,8404
278,/small.c,8393
281,/small.c,7075
300,/small.c,7073
301,/small.c,7068
302,/small.c,6493
303,/small.c,5838
303,/small.c,5712
304,/small.c,5347
319,/small.c,5277
373,/small.c,5262
394,/small.c,5258
405,/small.c,5252
406,/small.c,5234
407,/small.c,5229
408,/small.c,5222
409,/small.c,5218
410,/small.c,5213
412,/small.c,5201
414,/small.c,5192
417,/small.c,5143
419,/small.c,5133
420,/small.c,5052
421,/small.c,5026
423,/small.c,4989
425,/small.c,4649
427,/small.c,4137
444,/small.c,3922
468,/small.c,3913
473,/small.c,3906
476,/small.c,3891
530,/small.c,3890
534,/small.c,3705
549,/small.c,3693
553,/small.c,3686
587,/small.c,3615
591,/small.c,3583
604,/small.c,3571
628,/small.c,3565
631,/small.c,3535
634,/small.c,3530
647,/small.c,3401
650,/small.c,3349
684,/small.c,3334
687,/small.c,3234
700,/small.c,3232
723,/small.c,3227
736,/small.c,3201
760,/small.c,3127
763,/small.c,3048
776,/small.c,2924
779,/small.c,2916
802,/small.c,2907
806,/small.c,2834
809,/small.c,2829
825,/small.c,2690
828,/small.c,2675
847,/small.c,2658
858,/small.c,2582
868,/small.c,2536
875,/small.c,2464
880,/small.c,2469
883,/small.c,2445
896,/small.c,2438
917,/small.c,2448
921,/small.c,2443
935,/small.c,2442
989,/small.c,2437
1012,/small.c,2430
1164,/small.c,2427
