Time(s),File,Token Count
7,/small.c,43942
40,/small.c,40145
52,/small.c,40449
61,/small.c,40221
63,/small.c,40213
65,/small.c,40247
70,/small.c,21762
72,/small.c,19669
73,/small.c,19553
74,/small.c,19542
75,/small.c,19359
77,/small.c,19363
78,/small.c,18791
79,/small.c,18526
80,/small.c,17854
92,/small.c,17402
104,/small.c,16994
107,/small.c,17019
108,/small.c,17008
109,/small.c,17004
113,/small.c,17003
115,/small.c,17000
116,/small.c,16999
118,/small.c,17009
120,/small.c,17004
121,/small.c,16999
123,/small.c,16992
124,/small.c,16987
126,/small.c,16980
139,/small.c,16971
151,/small.c,16976
162,/small.c,16972
164,/small.c,16938
165,/small.c,16502
166,/small.c,16492
167,/small.c,16529
168,/small.c,16520
169,/small.c,16328
170,/small.c,16236
171,/small.c,16262
172,/small.c,16293
173,/small.c,16314
173,/small.c,16246
174,/small.c,16197
175,/small.c,16017
176,/small.c,15887
181,/small.c,15886
182,/small.c,15884
183,/small.c,15908
184,/small.c,15924
185,/small.c,15937
186,/small.c,15945
187,/small.c,15957
188,/small.c,15981
189,/small.c,15997
190,/small.c,16010
191,/small.c,16012
192,/small.c,16025
193,/small.c,16023
194,/small.c,16022
197,/small.c,15993
198,/small.c,15990
199,/small.c,15988
200,/small.c,15927
201,/small.c,15925
202,/small.c,15923
204,/small.c,15915
205,/small.c,15907
206,/small.c,15892
208,/small.c,15889
209,/small.c,15850
261,/small.c,15740
272,/small.c,15756
304,/small.c,15528
315,/small.c,15481
327,/small.c,14936
338,/small.c,14900
369,/small.c,14709
381,/small.c,14565
392,/small.c,14543
424,/small.c,10148
435,/small.c,10115
447,/small.c,10019
459,/small.c,9963
470,/small.c,9311
482,/small.c,9303
493,/small.c,9068
505,/small.c,8901
516,/small.c,8791
536,/small.c,8775
568,/small.c,8728
599,/small.c,8581
630,/small.c,8574
641,/small.c,8571
652,/small.c,8569
674,/small.c,8568
685,/small.c,8565
696,/small.c,8562
738,/small.c,8547
749,/small.c,8507
760,/small.c,7932
771,/small.c,7928
812,/small.c,7900
844,/small.c,7896
854,/small.c,7868
876,/small.c,7863
888,/small.c,7593
899,/small.c,7571
910,/small.c,5541
931,/small.c,5554
943,/small.c,5250
955,/small.c,5148
966,/small.c,5103
978,/small.c,5090
990,/small.c,5090
1001,/small.c,5071
1013,/small.c,5050
1017,/small.c,5040
1018,/small.c,5038
1019,/small.c,4908
1020,/small.c,4908
1082,/small.c,4882
1093,/small.c,4875
1134,/small.c,4872
1187,/small.c,4846
1188,/small.c,4828
1189,/small.c,4813
1189,/small.c,4811
1190,/small.c,4800
1191,/small.c,4786
1191,/small.c,4779
1192,/small.c,4768
1193,/small.c,4761
1194,/small.c,4756
1194,/small.c,4752
1197,/small.c,4736
1197,/small.c,4730
1198,/small.c,4724
1199,/small.c,4718
1200,/small.c,4712
1201,/small.c,4704
1201,/small.c,4699
1202,/small.c,4703
1203,/small.c,4673
1203,/small.c,4666
1204,/small.c,4661
1207,/small.c,4661
1207,/small.c,4658
1208,/small.c,4668
1208,/small.c,4666
1209,/small.c,4627
1252,/small.c,4613
1263,/small.c,4606
1306,/small.c,4579
1307,/small.c,4574
1308,/small.c,4567
1309,/small.c,4562
1310,/small.c,4555
1312,/small.c,4515
1315,/small.c,4462
1358,/small.c,4391
1360,/small.c,4382
1362,/small.c,4374
1363,/small.c,4381
1363,/small.c,4381
1398,/small.c,4270
1400,/small.c,4255
1400,/small.c,4249
1401,/small.c,4222
1402,/small.c,4130
1449,/small.c,3976
1451,/small.c,3969
1451,/small.c,3896
1500,/small.c,3867
1511,/small.c,3393
