Time(s),File,Token Count
2,/small.c,14624
7,/small.c,14618
9,/small.c,14609
11,/small.c,14603
12,/small.c,14597
14,/small.c,14591
16,/small.c,14582
17,/small.c,14573
31,/small.c,14550
34,/small.c,14382
41,/small.c,14361
43,/small.c,14359
45,/small.c,14347
60,/small.c,14248
62,/small.c,14217
65,/small.c,14131
77,/small.c,14126
88,/small.c,14118
90,/small.c,14114
92,/small.c,14111
94,/small.c,14105
95,/small.c,14101
98,/small.c,14098
100,/small.c,14093
102,/small.c,14090
104,/small.c,14081
108,/small.c,14066
110,/small.c,14061
115,/small.c,14030
117,/small.c,13704
120,/small.c,13496
127,/small.c,13484
129,/small.c,13483
130,/small.c,13480
132,/small.c,13480
134,/small.c,13475
136,/small.c,13470
139,/small.c,13460
141,/small.c,13455
143,/small.c,13449
144,/small.c,13444
146,/small.c,13439
148,/small.c,13434
149,/small.c,13429
151,/small.c,13424
153,/small.c,13419
154,/small.c,13414
155,/small.c,13409
157,/small.c,13404
158,/small.c,13399
165,/small.c,13284
168,/small.c,13240
171,/small.c,13226
174,/small.c,12993
176,/small.c,12226
178,/small.c,12207
182,/small.c,12202
221,/small.c,12192
222,/small.c,12184
223,/small.c,12179
224,/small.c,12156
257,/small.c,12151
267,/small.c,12128
271,/small.c,12126
278,/small.c,12121
280,/small.c,12111
282,/small.c,12102
283,/small.c,12099
289,/small.c,11880
291,/small.c,11874
293,/small.c,11694
295,/small.c,11689
298,/small.c,11682
300,/small.c,11674
335,/small.c,11664
338,/small.c,11259
340,/small.c,11251
348,/small.c,10966
351,/small.c,10949
355,/small.c,10944
362,/small.c,10899
365,/small.c,10623
367,/small.c,10617
369,/small.c,10594
370,/small.c,10588
385,/small.c,10572
390,/small.c,10552
395,/small.c,10480
401,/small.c,10449
409,/small.c,10428
417,/small.c,10409
421,/small.c,10394
430,/small.c,10369
432,/small.c,10364
434,/small.c,10360
436,/small.c,10356
437,/small.c,10351
439,/small.c,10343
441,/small.c,10338
443,/small.c,10333
445,/small.c,10328
447,/small.c,10323
448,/small.c,10308
450,/small.c,10303
452,/small.c,10298
453,/small.c,10289
461,/small.c,10288
463,/small.c,10264
474,/small.c,10259
513,/small.c,10249
515,/small.c,10239
519,/small.c,10236
521,/small.c,10228
525,/small.c,10048
528,/small.c,10047
531,/small.c,10043
533,/small.c,10035
569,/small.c,9894
571,/small.c,9783
573,/small.c,9676
575,/small.c,9632
577,/small.c,9623
581,/small.c,9541
584,/small.c,9428
586,/small.c,9324
588,/small.c,9229
592,/small.c,9136
594,/small.c,9037
596,/small.c,8967
598,/small.c,8866
600,/small.c,8861
603,/small.c,8790
607,/small.c,8788
609,/small.c,8777
612,/small.c,8747
621,/small.c,8747
635,/small.c,8454
637,/small.c,8452
639,/small.c,8449
640,/small.c,8445
642,/small.c,8443
643,/small.c,8441
645,/small.c,8437
647,/small.c,8434
648,/small.c,8420
650,/small.c,8414
652,/small.c,8408
654,/small.c,8405
665,/small.c,8388
668,/small.c,8378
670,/small.c,8355
672,/small.c,8350
673,/small.c,8345
674,/small.c,8330
676,/small.c,8325
677,/small.c,8255
678,/small.c,8247
680,/small.c,8176
681,/small.c,8137
682,/small.c,8092
684,/small.c,8050
685,/small.c,8005
686,/small.c,7997
689,/small.c,7989
698,/small.c,7984
700,/small.c,7979
704,/small.c,7974
706,/small.c,7891
708,/small.c,7883
710,/small.c,7878
713,/small.c,7618
795,/small.c,7561
797,/small.c,7503
799,/small.c,7494
800,/small.c,7488
801,/small.c,7482
802,/small.c,7469
803,/small.c,7463
812,/small.c,7448
814,/small.c,7448
831,/small.c,7389
923,/small.c,7380
924,/small.c,7367
1033,/small.c,7313
1053,/small.c,7184
1145,/small.c,7170
1148,/small.c,7161
1151,/small.c,7146
1155,/small.c,7139
1156,/small.c,7133
1157,/small.c,7126
1169,/small.c,7121
1271,/small.c,7116
1385,/small.c,7107
1397,/small.c,7102
1501,/small.c,7094
1504,/small.c,7090
1604,/small.c,7084
1606,/small.c,7078
1713,/small.c,6523
1820,/small.c,6510
